Title,Genre,Viewed
Mannequin,Comedy; Fantasy; Romance,No
Splash,Comedy; Fantasy; Romance,No
Money pit,Comedy; Romance,No
Goonies,Adventure; Comedy; Family,No
Big business,Comedy,No
Cocktail,Comedy; Drama; Romance,No
Twins,Comedy; Drama,No
High Spirits,Comedy; Fantasy,No
Look who's talking,Comedy; Romance,No
Clue the movie,Comedy; Crime; Mystery,No
Coming to America,Comedy; Romance,No
Golden Child,Action; Adventure; Comedy,No
Big trouble in little China,Action; Adventure; Comedy,No
Ghost busters,Action; Comedy; Fantasy,No
Lost Boys,Comedy; Horror,No
Labyrinth,Adventure; Family; Fantasy,No
Weird Science,Comedy; Romance; Sci-Fi,No
Ferris Buellers day off,Comedy,No
Bill and Ted's excellent adventure,Adventure; Comedy; Sci-Fi,No
Back to the future,Adventure; Comedy; Sci-Fi,No
Grease,Musical; Romance,No
Short Circuit,Comedy; Family; Sci-Fi,No
Flight of the navigator,Adventure; Family; Sci-Fi,No
Indian Jones and the Temple of Doom,Action; Adventure,No
Superman 3,Action; Adventure; Comedy,No
Tron,Action; Adventure; Sci-Fi,No
Teen Wolf,Comedy; Fantasy; Romance,No
Jumping Jack Flash,Comedy; Crime; Romance,No
Star Trek 4 the Voyage home,Action; Adventure; Comedy,No
E.T,Family; Sci-Fi,No
Legend,Adventure; Fantasy; Romance,No
Willow,Action; Adventure; Drama,No
Gremlins,Comedy; Fantasy; Horror,No
Beetlejuice,Comedy; Fantasy,No
Never ending story,Adventure; Drama; Family,No
Working girl,Comedy; Drama; Romance,No
An American werewolf in London,Comedy; Horror,No
Jaws 3D,Adventure; Horror; Thriller,No
Return of the Jedi,Action; Adventure; Fantasy,No
Police Academy,Comedy; Crime,No
Robocop,Action; Crime; Sci-Fi,No
Batman,Action; Adventure,No
Airplane,Comedy,No
Naked gun,Comedy; Crime,No
Top secret,Comedy; Music,No
9 to 5,Comedy,No
Spaceballs,Adventure; Comedy; Sci-Fi,No
Trading places,Comedy,No
Cocoon,Comedy; Drama; Sci-Fi,No
Crocodile Dundee,Adventure; Comedy,No
Coneheads,Comedy; Sci-Fi,No
Ruthless people,Comedy; Crime,No
Inner space,Action; Adventure; Comedy,No
The last star fighter,Action; Adventure; Sci-Fi,No
Flash Gordon,Action; Adventure; Sci-Fi,No
Buster,Crime; Drama; Romance,No
Shirley Valentine,Comedy; Drama; Romance,No
Steel magnolias,Drama; Romance,No
Zanadu,Fantasy; Musical; Romance,No
Fame,Drama; Music; Musical,No
Romancing the stone,Action; Adventure; Comedy,No
Hairspray,Comedy; Drama; Musical,No
Who framed Roger Rabbit,Animation; Comedy; Crime,No
Little Shop of Horrors,Comedy; Horror; Musical,No
The secret of nimh,Animation; Adventure; Drama,No
Akira,Animation; Action; Sci-Fi,No
The little mermaid,Animation; Family; Fantasy,No
My neighbour totero,Animation; Family; Fantasy,No
This us spinal tap,Comedy; Music,No
Transformers the movie,Animation; Action; Adventure,No
Herbie goes bananas,Action; Adventure; Comedy,No
Blade runner,Action; Drama; Sci-Fi,No
The watcher in the woods,Drama; Horror; Mystery,No
Kindergarten cop,Action; Comedy; Crime,No
Total recall,Action; Sci-Fi; Thriller,No
Close encounters of the third bird,Drama; Sci-Fi,No
James bond moonraker,Action; Adventure; Sci-Fi,No
Running man,Action; Sci-Fi; Thriller,No
Lawnmower man,Drama; Sci-Fi; Thriller,No
